sample_id,population,percentage,condition,treatment,sample_type,response
sample01378,monocyte,19.04,melanoma,miraclib,PBMC,yes
sample01378,nk_cell,11.08,melanoma,miraclib,PBMC,yes
sample01379,b_cell,11.39,melanoma,miraclib,PBMC,yes
sample01379,cd4_t_cell,34.63,melanoma,miraclib,PBMC,yes
sample01379,cd8_t_cell,20.64,melanoma,miraclib,PBMC,yes
sample01379,monocyte,17.56,melanoma,miraclib,PBMC,yes
sample01379,nk_cell,15.78,melanoma,miraclib,PBMC,yes
sample01386,b_cell,7.29,melanoma,miraclib,PBMC,no
sample01386,cd4_t_cell,37.01,melanoma,miraclib,PBMC,no
sample01386,cd8_t_cell,22.37,melanoma,miraclib,PBMC,no
sample01386,monocyte,15.8,melanoma,miraclib,PBMC,no
sample01386,nk_cell,17.54,melanoma,miraclib,PBMC,no
sample01387,b_cell,7.18,melanoma,miraclib,PBMC,no
sample01387,cd4_t_cell,27.92,melanoma,miraclib,PBMC,no
sample01387,cd8_t_cell,31.28,melanoma,miraclib,PBMC,no
sample01387,monocyte,23.09,melanoma,miraclib,PBMC,no
sample01387,nk_cell,10.53,melanoma,miraclib,PBMC,no
sample01388,b_cell,8.57,melanoma,miraclib,PBMC,no
sample01388,cd4_t_cell,22.47,melanoma,miraclib,PBMC,no
sample01388,cd8_t_cell,28.63,melanoma,miraclib,PBMC,no
sample01388,monocyte,17.93,melanoma,miraclib,PBMC,no
sample01388,nk_cell,22.4,melanoma,miraclib,PBMC,no
sample01395,b_cell,5.84,melanoma,miraclib,PBMC,no
sample01395,cd4_t_cell,34.42,melanoma,miraclib,PBMC,no
sample01395,cd8_t_cell,22.39,melanoma,miraclib,PBMC,no
sample01395,monocyte,15.44,melanoma,miraclib,PBMC,no
sample01395,nk_cell,21.91,melanoma,miraclib,PBMC,no
sample01396,b_cell,15.24,melanoma,miraclib,PBMC,no
sample01396,cd4_t_cell,32.62,melanoma,miraclib,PBMC,no
sample01396,cd8_t_cell,23.03,melanoma,miraclib,PBMC,no
sample01396,monocyte,19.2,melanoma,miraclib,PBMC,no
sample01396,nk_cell,9.92,melanoma,miraclib,PBMC,no
sample01397,b_cell,5.87,melanoma,miraclib,PBMC,no
sample01397,cd4_t_cell,27.51,melanoma,miraclib,PBMC,no
sample01397,cd8_t_cell,27.64,melanoma,miraclib,PBMC,no
sample01397,monocyte,26.68,melanoma,miraclib,PBMC,no
sample01397,nk_cell,12.3,melanoma,miraclib,PBMC,no
sample01413,b_cell,12.31,melanoma,miraclib,PBMC,no
sample01413,cd4_t_cell,28.94,melanoma,miraclib,PBMC,no
sample01413,cd8_t_cell,24.23,melanoma,miraclib,PBMC,no
sample01413,monocyte,18.45,melanoma,miraclib,PBMC,no
sample01413,nk_cell,16.07,melanoma,miraclib,PBMC,no
sample01414,b_cell,8.2,melanoma,miraclib,PBMC,no
sample01414,cd4_t_cell,32.21,melanoma,miraclib,PBMC,no
sample01414,cd8_t_cell,18.28,melanoma,miraclib,PBMC,no
sample01414,monocyte,26.62,melanoma,miraclib,PBMC,no
sample01414,nk_cell,14.68,melanoma,miraclib,PBMC,no
sample01415,b_cell,18.67,melanoma,miraclib,PBMC,no
sample01415,cd4_t_cell,26.35,melanoma,miraclib,PBMC,no
sample01415,cd8_t_cell,21.6,melanoma,miraclib,PBMC,no
sample01415,monocyte,18.38,melanoma,miraclib,PBMC,no
sample01415,nk_cell,15.0,melanoma,miraclib,PBMC,no
sample01419,b_cell,6.54,melanoma,miraclib,PBMC,yes
sample01419,cd4_t_cell,30.89,melanoma,miraclib,PBMC,yes
sample01419,cd8_t_cell,30.17,melanoma,miraclib,PBMC,yes
sample01419,monocyte,11.28,melanoma,miraclib,PBMC,yes
sample01419,nk_cell,21.13,melanoma,miraclib,PBMC,yes
sample01420,b_cell,8.84,melanoma,miraclib,PBMC,yes
sample01420,cd4_t_cell,26.2,melanoma,miraclib,PBMC,yes
sample01420,cd8_t_cell,30.13,melanoma,miraclib,PBMC,yes
sample01420,monocyte,27.23,melanoma,miraclib,PBMC,yes
sample01420,nk_cell,7.59,melanoma,miraclib,PBMC,yes
sample01421,b_cell,14.16,melanoma,miraclib,PBMC,yes
sample01421,cd4_t_cell,28.61,melanoma,miraclib,PBMC,yes
sample01421,cd8_t_cell,27.86,melanoma,miraclib,PBMC,yes
sample01421,monocyte,20.23,melanoma,miraclib,PBMC,yes
sample01421,nk_cell,9.13,melanoma,miraclib,PBMC,yes
sample01422,b_cell,9.57,melanoma,miraclib,PBMC,yes
sample01422,cd4_t_cell,26.6,melanoma,miraclib,PBMC,yes
sample01422,cd8_t_cell,19.9,melanoma,miraclib,PBMC,yes
sample01422,monocyte,24.74,melanoma,miraclib,PBMC,yes
sample01422,nk_cell,19.19,melanoma,miraclib,PBMC,yes
sample01423,b_cell,15.91,melanoma,miraclib,PBMC,yes
sample01423,cd4_t_cell,26.1,melanoma,miraclib,PBMC,yes
sample01423,cd8_t_cell,15.5,melanoma,miraclib,PBMC,yes
sample01423,monocyte,21.54,melanoma,miraclib,PBMC,yes
sample01423,nk_cell,20.95,melanoma,miraclib,PBMC,yes
sample01424,b_cell,7.52,melanoma,miraclib,PBMC,yes
sample01424,cd4_t_cell,28.4,melanoma,miraclib,PBMC,yes
sample01424,cd8_t_cell,21.47,melanoma,miraclib,PBMC,yes
sample01424,monocyte,29.31,melanoma,miraclib,PBMC,yes
sample01424,nk_cell,13.31,melanoma,miraclib,PBMC,yes
sample01431,b_cell,12.77,melanoma,miraclib,PBMC,no
sample01431,cd4_t_cell,20.46,melanoma,miraclib,PBMC,no
sample01431,cd8_t_cell,34.13,melanoma,miraclib,PBMC,no
sample01431,monocyte,16.46,melanoma,miraclib,PBMC,no
sample01431,nk_cell,16.18,melanoma,miraclib,PBMC,no
sample01432,b_cell,4.26,melanoma,miraclib,PBMC,no
sample01432,cd4_t_cell,22.58,melanoma,miraclib,PBMC,no
sample01432,cd8_t_cell,25.9,melanoma,miraclib,PBMC,no
sample01432,monocyte,30.88,melanoma,miraclib,PBMC,no
sample01432,nk_cell,16.37,melanoma,miraclib,PBMC,no
sample01433,b_cell,6.11,melanoma,miraclib,PBMC,no
sample01433,cd4_t_cell,32.9,melanoma,miraclib,PBMC,no
sample01433,cd8_t_cell,23.01,melanoma,miraclib,PBMC,no
sample01433,monocyte,23.71,melanoma,miraclib,PBMC,no
sample01433,nk_cell,14.27,melanoma,miraclib,PBMC,no
sample01440,b_cell,11.75,melanoma,miraclib,PBMC,yes
sample01440,cd4_t_cell,36.42,melanoma,miraclib,PBMC,yes
sample01440,cd8_t_cell,15.76,melanoma,miraclib,PBMC,yes
sample01440,monocyte,22.77,melanoma,miraclib,PBMC,yes
sample01440,nk_cell,13.3,melanoma,miraclib,PBMC,yes
sample01441,b_cell,5.96,melanoma,miraclib,PBMC,yes
sample01441,cd4_t_cell,27.71,melanoma,miraclib,PBMC,yes
sample01441,cd8_t_cell,23.47,melanoma,miraclib,PBMC,yes
sample01441,monocyte,18.53,melanoma,miraclib,PBMC,yes
sample01441,nk_cell,24.34,melanoma,miraclib,PBMC,yes
sample01442,b_cell,14.86,melanoma,miraclib,PBMC,yes
sample01442,cd4_t_cell,33.0,melanoma,miraclib,PBMC,yes
sample01442,cd8_t_cell,19.77,melanoma,miraclib,PBMC,yes
sample01442,monocyte,21.82,melanoma,miraclib,PBMC,yes
sample01442,nk_cell,10.55,melanoma,miraclib,PBMC,yes
sample01458,b_cell,14.28,melanoma,miraclib,PBMC,yes
sample01458,cd4_t_cell,33.06,melanoma,miraclib,PBMC,yes
sample01458,cd8_t_cell,19.57,melanoma,miraclib,PBMC,yes
sample01458,monocyte,20.99,melanoma,miraclib,PBMC,yes
sample01458,nk_cell,12.09,melanoma,miraclib,PBMC,yes
sample01459,b_cell,10.09,melanoma,miraclib,PBMC,yes
sample01459,cd4_t_cell,31.53,melanoma,miraclib,PBMC,yes
sample01459,cd8_t_cell,19.38,melanoma,miraclib,PBMC,yes
sample01459,monocyte,21.77,melanoma,miraclib,PBMC,yes
sample01459,nk_cell,17.22,melanoma,miraclib,PBMC,yes
sample01460,b_cell,12.5,melanoma,miraclib,PBMC,yes
sample01460,cd4_t_cell,36.38,melanoma,miraclib,PBMC,yes
sample01460,cd8_t_cell,19.79,melanoma,miraclib,PBMC,yes
sample01460,monocyte,16.42,melanoma,miraclib,PBMC,yes
sample01460,nk_cell,14.9,melanoma,miraclib,PBMC,yes
sample01491,b_cell,11.45,melanoma,miraclib,PBMC,yes
sample01491,cd4_t_cell,39.68,melanoma,miraclib,PBMC,yes
sample01491,cd8_t_cell,17.93,melanoma,miraclib,PBMC,yes
sample01491,monocyte,20.31,melanoma,miraclib,PBMC,yes
sample01491,nk_cell,10.63,melanoma,miraclib,PBMC,yes
sample01492,b_cell,7.21,melanoma,miraclib,PBMC,yes
sample01492,cd4_t_cell,41.46,melanoma,miraclib,PBMC,yes
sample01492,cd8_t_cell,18.3,melanoma,miraclib,PBMC,yes
sample01492,monocyte,20.33,melanoma,miraclib,PBMC,yes
sample01492,nk_cell,12.71,melanoma,miraclib,PBMC,yes
sample01493,b_cell,8.44,melanoma,miraclib,PBMC,yes
sample01493,cd4_t_cell,27.97,melanoma,miraclib,PBMC,yes
sample01493,cd8_t_cell,24.2,melanoma,miraclib,PBMC,yes
sample01493,monocyte,23.92,melanoma,miraclib,PBMC,yes
sample01493,nk_cell,15.48,melanoma,miraclib,PBMC,yes
sample01497,b_cell,14.16,melanoma,miraclib,PBMC,yes
sample01497,cd4_t_cell,25.67,melanoma,miraclib,PBMC,yes
sample01497,cd8_t_cell,27.72,melanoma,miraclib,PBMC,yes
sample01497,monocyte,18.19,melanoma,miraclib,PBMC,yes
sample01497,nk_cell,14.26,melanoma,miraclib,PBMC,yes
sample01498,b_cell,8.53,melanoma,miraclib,PBMC,yes
sample01498,cd4_t_cell,31.47,melanoma,miraclib,PBMC,yes
sample01498,cd8_t_cell,30.84,melanoma,miraclib,PBMC,yes
sample01498,monocyte,17.07,melanoma,miraclib,PBMC,yes
sample01498,nk_cell,12.08,melanoma,miraclib,PBMC,yes
sample01499,b_cell,10.46,melanoma,miraclib,PBMC,yes
sample01499,cd4_t_cell,34.14,melanoma,miraclib,PBMC,yes
sample01499,cd8_t_cell,21.64,melanoma,miraclib,PBMC,yes
sample01499,monocyte,20.62,melanoma,miraclib,PBMC,yes
sample01499,nk_cell,13.14,melanoma,miraclib,PBMC,yes
sample01533,b_cell,17.69,melanoma,miraclib,PBMC,yes
sample01533,cd4_t_cell,22.48,melanoma,miraclib,PBMC,yes
sample01533,cd8_t_cell,25.66,melanoma,miraclib,PBMC,yes
sample01533,monocyte,22.92,melanoma,miraclib,PBMC,yes
sample01533,nk_cell,11.25,melanoma,miraclib,PBMC,yes
sample01534,b_cell,9.86,melanoma,miraclib,PBMC,yes
sample01534,cd4_t_cell,24.73,melanoma,miraclib,PBMC,yes
sample01534,cd8_t_cell,22.04,melanoma,miraclib,PBMC,yes
sample01534,monocyte,19.07,melanoma,miraclib,PBMC,yes
sample01534,nk_cell,24.3,melanoma,miraclib,PBMC,yes
sample01535,b_cell,8.14,melanoma,miraclib,PBMC,yes
sample01535,cd4_t_cell,35.73,melanoma,miraclib,PBMC,yes
sample01535,cd8_t_cell,21.59,melanoma,miraclib,PBMC,yes
sample01535,monocyte,19.16,melanoma,miraclib,PBMC,yes
sample01535,nk_cell,15.38,melanoma,miraclib,PBMC,yes
sample01536,b_cell,6.52,melanoma,miraclib,PBMC,yes
sample01536,cd4_t_cell,29.51,melanoma,miraclib,PBMC,yes
sample01536,cd8_t_cell,30.16,melanoma,miraclib,PBMC,yes
sample01536,monocyte,22.91,melanoma,miraclib,PBMC,yes
sample01536,nk_cell,10.9,melanoma,miraclib,PBMC,yes
sample01537,b_cell,9.79,melanoma,miraclib,PBMC,yes
sample01537,cd4_t_cell,33.13,melanoma,miraclib,PBMC,yes
sample01537,cd8_t_cell,23.24,melanoma,miraclib,PBMC,yes
sample01537,monocyte,20.08,melanoma,miraclib,PBMC,yes
sample01537,nk_cell,13.76,melanoma,miraclib,PBMC,yes
sample01538,b_cell,14.68,melanoma,miraclib,PBMC,yes
sample01538,cd4_t_cell,27.49,melanoma,miraclib,PBMC,yes
sample01538,cd8_t_cell,23.1,melanoma,miraclib,PBMC,yes
sample01538,monocyte,20.92,melanoma,miraclib,PBMC,yes
sample01538,nk_cell,13.81,melanoma,miraclib,PBMC,yes
sample01542,b_cell,5.03,melanoma,miraclib,PBMC,no
sample01542,cd4_t_cell,32.16,melanoma,miraclib,PBMC,no
sample01542,cd8_t_cell,24.69,melanoma,miraclib,PBMC,no
sample01542,monocyte,20.46,melanoma,miraclib,PBMC,no
sample01542,nk_cell,17.67,melanoma,miraclib,PBMC,no
sample01543,b_cell,15.24,melanoma,miraclib,PBMC,no
sample01543,cd4_t_cell,19.05,melanoma,miraclib,PBMC,no
sample01543,cd8_t_cell,28.46,melanoma,miraclib,PBMC,no
sample01543,monocyte,26.46,melanoma,miraclib,PBMC,no
sample01543,nk_cell,10.81,melanoma,miraclib,PBMC,no
sample01544,b_cell,13.13,melanoma,miraclib,PBMC,no
sample01544,cd4_t_cell,32.35,melanoma,miraclib,PBMC,no
sample01544,cd8_t_cell,22.51,melanoma,miraclib,PBMC,no
sample01544,monocyte,19.45,melanoma,miraclib,PBMC,no
sample01544,nk_cell,12.56,melanoma,miraclib,PBMC,no
sample01545,b_cell,3.15,melanoma,miraclib,PBMC,yes
sample01545,cd4_t_cell,26.97,melanoma,miraclib,PBMC,yes
sample01545,cd8_t_cell,20.08,melanoma,miraclib,PBMC,yes
sample01545,monocyte,28.07,melanoma,miraclib,PBMC,yes
sample01545,nk_cell,21.73,melanoma,miraclib,PBMC,yes
sample01546,b_cell,10.39,melanoma,miraclib,PBMC,yes
sample01546,cd4_t_cell,29.43,melanoma,miraclib,PBMC,yes
sample01546,cd8_t_cell,31.74,melanoma,miraclib,PBMC,yes
sample01546,monocyte,17.38,melanoma,miraclib,PBMC,yes
sample01546,nk_cell,11.06,melanoma,miraclib,PBMC,yes
sample01547,b_cell,9.43,melanoma,miraclib,PBMC,yes
sample01547,cd4_t_cell,28.16,melanoma,miraclib,PBMC,yes
sample01547,cd8_t_cell,23.07,melanoma,miraclib,PBMC,yes
sample01547,monocyte,18.53,melanoma,miraclib,PBMC,yes
sample01547,nk_cell,20.81,melanoma,miraclib,PBMC,yes
sample01554,b_cell,11.12,melanoma,miraclib,PBMC,no
sample01554,cd4_t_cell,27.84,melanoma,miraclib,PBMC,no
sample01554,cd8_t_cell,24.43,melanoma,miraclib,PBMC,no
sample01554,monocyte,20.19,melanoma,miraclib,PBMC,no
sample01554,nk_cell,16.42,melanoma,miraclib,PBMC,no
sample01555,b_cell,17.09,melanoma,miraclib,PBMC,no
sample01555,cd4_t_cell,41.11,melanoma,miraclib,PBMC,no
sample01555,cd8_t_cell,20.68,melanoma,miraclib,PBMC,no
sample01555,monocyte,13.82,melanoma,miraclib,PBMC,no
sample01555,nk_cell,7.29,melanoma,miraclib,PBMC,no
sample01556,b_cell,4.27,melanoma,miraclib,PBMC,no
sample01556,cd4_t_cell,25.49,melanoma,miraclib,PBMC,no
sample01556,cd8_t_cell,28.46,melanoma,miraclib,PBMC,no
sample01556,monocyte,23.34,melanoma,miraclib,PBMC,no
sample01556,nk_cell,18.43,melanoma,miraclib,PBMC,no
sample01587,b_cell,7.78,melanoma,miraclib,PBMC,no
sample01587,cd4_t_cell,34.06,melanoma,miraclib,PBMC,no
sample01587,cd8_t_cell,26.9,melanoma,miraclib,PBMC,no
sample01587,monocyte,21.04,melanoma,miraclib,PBMC,no
sample01587,nk_cell,10.22,melanoma,miraclib,PBMC,no
sample01588,b_cell,7.26,melanoma,miraclib,PBMC,no
sample01588,cd4_t_cell,36.06,melanoma,miraclib,PBMC,no
sample01588,cd8_t_cell,20.78,melanoma,miraclib,PBMC,no
sample01588,monocyte,27.53,melanoma,miraclib,PBMC,no
sample01588,nk_cell,8.36,melanoma,miraclib,PBMC,no
sample01589,b_cell,6.42,melanoma,miraclib,PBMC,no
sample01589,cd4_t_cell,33.61,melanoma,miraclib,PBMC,no
sample01589,cd8_t_cell,19.87,melanoma,miraclib,PBMC,no
sample01589,monocyte,25.45,melanoma,miraclib,PBMC,no
sample01589,nk_cell,14.66,melanoma,miraclib,PBMC,no
sample01602,b_cell,9.97,melanoma,miraclib,PBMC,yes
sample01602,cd4_t_cell,27.86,melanoma,miraclib,PBMC,yes
sample01602,cd8_t_cell,25.95,melanoma,miraclib,PBMC,yes
sample01602,monocyte,27.27,melanoma,miraclib,PBMC,yes
sample01602,nk_cell,8.94,melanoma,miraclib,PBMC,yes
sample01603,b_cell,8.99,melanoma,miraclib,PBMC,yes
sample01603,cd4_t_cell,34.06,melanoma,miraclib,PBMC,yes
sample01603,cd8_t_cell,27.95,melanoma,miraclib,PBMC,yes
sample01603,monocyte,14.81,melanoma,miraclib,PBMC,yes
sample01603,nk_cell,14.2,melanoma,miraclib,PBMC,yes
sample01604,b_cell,8.73,melanoma,miraclib,PBMC,yes
sample01604,cd4_t_cell,36.47,melanoma,miraclib,PBMC,yes
sample01604,cd8_t_cell,27.89,melanoma,miraclib,PBMC,yes
sample01604,monocyte,17.27,melanoma,miraclib,PBMC,yes
sample01604,nk_cell,9.64,melanoma,miraclib,PBMC,yes
sample01611,b_cell,9.51,melanoma,miraclib,PBMC,no
sample01611,cd4_t_cell,29.26,melanoma,miraclib,PBMC,no
sample01611,cd8_t_cell,25.96,melanoma,miraclib,PBMC,no
sample01611,monocyte,24.63,melanoma,miraclib,PBMC,no
sample01611,nk_cell,10.64,melanoma,miraclib,PBMC,no
sample01612,b_cell,11.91,melanoma,miraclib,PBMC,no
sample01612,cd4_t_cell,40.19,melanoma,miraclib,PBMC,no
sample01612,cd8_t_cell,18.35,melanoma,miraclib,PBMC,no
sample01612,monocyte,15.16,melanoma,miraclib,PBMC,no
sample01612,nk_cell,14.4,melanoma,miraclib,PBMC,no
sample01613,b_cell,6.15,melanoma,miraclib,PBMC,no
sample01613,cd4_t_cell,21.84,melanoma,miraclib,PBMC,no
sample01613,cd8_t_cell,35.32,melanoma,miraclib,PBMC,no
sample01613,monocyte,21.66,melanoma,miraclib,PBMC,no
sample01613,nk_cell,15.02,melanoma,miraclib,PBMC,no
sample01620,b_cell,6.02,melanoma,miraclib,PBMC,yes
sample01620,cd4_t_cell,28.18,melanoma,miraclib,PBMC,yes
sample01620,cd8_t_cell,26.29,melanoma,miraclib,PBMC,yes
sample01620,monocyte,22.71,melanoma,miraclib,PBMC,yes
sample01620,nk_cell,16.8,melanoma,miraclib,PBMC,yes
sample01621,b_cell,4.96,melanoma,miraclib,PBMC,yes
sample01621,cd4_t_cell,34.9,melanoma,miraclib,PBMC,yes
sample01621,cd8_t_cell,29.78,melanoma,miraclib,PBMC,yes
sample01621,monocyte,15.67,melanoma,miraclib,PBMC,yes
sample01621,nk_cell,14.7,melanoma,miraclib,PBMC,yes
sample01622,b_cell,9.54,melanoma,miraclib,PBMC,yes
sample01622,cd4_t_cell,32.51,melanoma,miraclib,PBMC,yes
sample01622,cd8_t_cell,25.43,melanoma,miraclib,PBMC,yes
sample01622,monocyte,20.58,melanoma,miraclib,PBMC,yes
sample01622,nk_cell,11.94,melanoma,miraclib,PBMC,yes
sample01635,b_cell,13.21,melanoma,miraclib,PBMC,yes
sample01635,cd4_t_cell,22.86,melanoma,miraclib,PBMC,yes
sample01635,cd8_t_cell,19.44,melanoma,miraclib,PBMC,yes
sample01635,monocyte,25.18,melanoma,miraclib,PBMC,yes
sample01635,nk_cell,19.31,melanoma,miraclib,PBMC,yes
sample01636,b_cell,15.29,melanoma,miraclib,PBMC,yes
sample01636,cd4_t_cell,28.26,melanoma,miraclib,PBMC,yes
sample01636,cd8_t_cell,23.4,melanoma,miraclib,PBMC,yes
sample01636,monocyte,20.5,melanoma,miraclib,PBMC,yes
sample01636,nk_cell,12.55,melanoma,miraclib,PBMC,yes
sample01637,b_cell,10.88,melanoma,miraclib,PBMC,yes
sample01637,cd4_t_cell,28.62,melanoma,miraclib,PBMC,yes
sample01637,cd8_t_cell,29.72,melanoma,miraclib,PBMC,yes
sample01637,monocyte,15.79,melanoma,miraclib,PBMC,yes
sample01637,nk_cell,14.98,melanoma,miraclib,PBMC,yes
sample01638,b_cell,18.04,melanoma,miraclib,PBMC,yes
sample01638,cd4_t_cell,32.85,melanoma,miraclib,PBMC,yes
sample01638,cd8_t_cell,15.75,melanoma,miraclib,PBMC,yes
sample01638,monocyte,23.56,melanoma,miraclib,PBMC,yes
sample01638,nk_cell,9.8,melanoma,miraclib,PBMC,yes
sample01639,b_cell,5.13,melanoma,miraclib,PBMC,yes
sample01639,cd4_t_cell,35.58,melanoma,miraclib,PBMC,yes
sample01639,cd8_t_cell,31.24,melanoma,miraclib,PBMC,yes
sample01639,monocyte,14.72,melanoma,miraclib,PBMC,yes
sample01639,nk_cell,13.32,melanoma,miraclib,PBMC,yes
sample01640,b_cell,20.01,melanoma,miraclib,PBMC,yes
sample01640,cd4_t_cell,22.07,melanoma,miraclib,PBMC,yes
sample01640,cd8_t_cell,24.51,melanoma,miraclib,PBMC,yes
sample01640,monocyte,20.69,melanoma,miraclib,PBMC,yes
sample01640,nk_cell,12.72,melanoma,miraclib,PBMC,yes
sample01665,b_cell,11.75,melanoma,miraclib,PBMC,yes
sample01665,cd4_t_cell,38.41,melanoma,miraclib,PBMC,yes
sample01665,cd8_t_cell,14.51,melanoma,miraclib,PBMC,yes
sample01665,monocyte,10.86,melanoma,miraclib,PBMC,yes
sample01665,nk_cell,24.48,melanoma,miraclib,PBMC,yes
sample01666,b_cell,5.02,melanoma,miraclib,PBMC,yes
sample01666,cd4_t_cell,23.3,melanoma,miraclib,PBMC,yes
sample01666,cd8_t_cell,32.64,melanoma,miraclib,PBMC,yes
sample01666,monocyte,24.02,melanoma,miraclib,PBMC,yes
sample01666,nk_cell,15.03,melanoma,miraclib,PBMC,yes
sample01667,b_cell,6.22,melanoma,miraclib,PBMC,yes
sample01667,cd4_t_cell,25.38,melanoma,miraclib,PBMC,yes
sample01667,cd8_t_cell,31.51,melanoma,miraclib,PBMC,yes
sample01667,monocyte,20.2,melanoma,miraclib,PBMC,yes
sample01667,nk_cell,16.69,melanoma,miraclib,PBMC,yes
sample01674,b_cell,7.53,melanoma,miraclib,PBMC,no
sample01674,cd4_t_cell,23.29,melanoma,miraclib,PBMC,no
sample01674,cd8_t_cell,25.95,melanoma,miraclib,PBMC,no
sample01674,monocyte,19.88,melanoma,miraclib,PBMC,no
sample01674,nk_cell,23.34,melanoma,miraclib,PBMC,no
sample01675,b_cell,10.55,melanoma,miraclib,PBMC,no
sample01675,cd4_t_cell,31.24,melanoma,miraclib,PBMC,no
sample01675,cd8_t_cell,27.69,melanoma,miraclib,PBMC,no
sample01675,monocyte,17.15,melanoma,miraclib,PBMC,no
sample01675,nk_cell,13.37,melanoma,miraclib,PBMC,no
sample01676,b_cell,6.94,melanoma,miraclib,PBMC,no
sample01676,cd4_t_cell,27.27,melanoma,miraclib,PBMC,no
sample01676,cd8_t_cell,34.24,melanoma,miraclib,PBMC,no
sample01676,monocyte,14.57,melanoma,miraclib,PBMC,no
sample01676,nk_cell,16.97,melanoma,miraclib,PBMC,no
sample01680,b_cell,13.01,melanoma,miraclib,PBMC,no
sample01680,cd4_t_cell,26.16,melanoma,miraclib,PBMC,no
sample01680,cd8_t_cell,23.06,melanoma,miraclib,PBMC,no
sample01680,monocyte,22.87,melanoma,miraclib,PBMC,no
sample01680,nk_cell,14.89,melanoma,miraclib,PBMC,no
sample01681,b_cell,7.77,melanoma,miraclib,PBMC,no
sample01681,cd4_t_cell,33.13,melanoma,miraclib,PBMC,no
sample01681,cd8_t_cell,28.58,melanoma,miraclib,PBMC,no
sample01681,monocyte,17.87,melanoma,miraclib,PBMC,no
sample01681,nk_cell,12.64,melanoma,miraclib,PBMC,no
sample01682,b_cell,11.38,melanoma,miraclib,PBMC,no
sample01682,cd4_t_cell,26.82,melanoma,miraclib,PBMC,no
sample01682,cd8_t_cell,32.49,melanoma,miraclib,PBMC,no
sample01682,monocyte,15.71,melanoma,miraclib,PBMC,no
sample01682,nk_cell,13.59,melanoma,miraclib,PBMC,no
sample01683,b_cell,9.1,melanoma,miraclib,PBMC,yes
sample01683,cd4_t_cell,20.07,melanoma,miraclib,PBMC,yes
sample01683,cd8_t_cell,35.67,melanoma,miraclib,PBMC,yes
sample01683,monocyte,21.8,melanoma,miraclib,PBMC,yes
sample01683,nk_cell,13.37,melanoma,miraclib,PBMC,yes
sample01684,b_cell,11.09,melanoma,miraclib,PBMC,yes
sample01684,cd4_t_cell,29.7,melanoma,miraclib,PBMC,yes
sample01684,cd8_t_cell,25.86,melanoma,miraclib,PBMC,yes
sample01684,monocyte,18.4,melanoma,miraclib,PBMC,yes
sample01684,nk_cell,14.95,melanoma,miraclib,PBMC,yes
sample01685,b_cell,13.63,melanoma,miraclib,PBMC,yes
sample01685,cd4_t_cell,28.12,melanoma,miraclib,PBMC,yes
sample01685,cd8_t_cell,25.26,melanoma,miraclib,PBMC,yes
sample01685,monocyte,17.72,melanoma,miraclib,PBMC,yes
sample01685,nk_cell,15.27,melanoma,miraclib,PBMC,yes
sample01686,b_cell,18.81,melanoma,miraclib,PBMC,no
sample01686,cd4_t_cell,35.32,melanoma,miraclib,PBMC,no
sample01686,cd8_t_cell,15.6,melanoma,miraclib,PBMC,no
sample01686,monocyte,15.62,melanoma,miraclib,PBMC,no
sample01686,nk_cell,14.65,melanoma,miraclib,PBMC,no
sample01687,b_cell,9.97,melanoma,miraclib,PBMC,no
sample01687,cd4_t_cell,29.89,melanoma,miraclib,PBMC,no
sample01687,cd8_t_cell,30.78,melanoma,miraclib,PBMC,no
sample01687,monocyte,13.68,melanoma,miraclib,PBMC,no
sample01687,nk_cell,15.68,melanoma,miraclib,PBMC,no
sample01688,b_cell,12.45,melanoma,miraclib,PBMC,no
sample01688,cd4_t_cell,25.99,melanoma,miraclib,PBMC,no
sample01688,cd8_t_cell,19.26,melanoma,miraclib,PBMC,no
sample01688,monocyte,17.42,melanoma,miraclib,PBMC,no
sample01688,nk_cell,24.88,melanoma,miraclib,PBMC,no
sample01692,b_cell,10.52,melanoma,miraclib,PBMC,yes
sample01692,cd4_t_cell,32.15,melanoma,miraclib,PBMC,yes
sample01692,cd8_t_cell,26.38,melanoma,miraclib,PBMC,yes
sample01692,monocyte,19.19,melanoma,miraclib,PBMC,yes
sample01692,nk_cell,11.76,melanoma,miraclib,PBMC,yes
sample01693,b_cell,7.92,melanoma,miraclib,PBMC,yes
sample01693,cd4_t_cell,27.08,melanoma,miraclib,PBMC,yes
sample01693,cd8_t_cell,20.06,melanoma,miraclib,PBMC,yes
sample01693,monocyte,25.75,melanoma,miraclib,PBMC,yes
sample01693,nk_cell,19.19,melanoma,miraclib,PBMC,yes
sample01694,b_cell,13.64,melanoma,miraclib,PBMC,yes
sample01694,cd4_t_cell,27.96,melanoma,miraclib,PBMC,yes
sample01694,cd8_t_cell,24.31,melanoma,miraclib,PBMC,yes
sample01694,monocyte,14.71,melanoma,miraclib,PBMC,yes
sample01694,nk_cell,19.38,melanoma,miraclib,PBMC,yes
sample01701,b_cell,7.49,melanoma,miraclib,PBMC,no
sample01701,cd4_t_cell,32.96,melanoma,miraclib,PBMC,no
sample01701,cd8_t_cell,26.32,melanoma,miraclib,PBMC,no
sample01701,monocyte,21.69,melanoma,miraclib,PBMC,no
sample01701,nk_cell,11.55,melanoma,miraclib,PBMC,no
sample01702,b_cell,6.86,melanoma,miraclib,PBMC,no
